ID;NAME_RU;NAME_EN;YEAR;COUNTRIES;GENRES;RATE;FILM_DIRECTOR;ACTORS
632dc02a-3573-4198-a60c-f69c3b070ba8;Чужой;Alien ;1979;США, Великобритания;thriller, fantasy;4.6;Ридли Скотт;thriller, fantasy
1cc842f5-79c9-40db-861a-e98a44cbd7d2;Слон и бабочка;Drôle de père;2017;Бельгия;drama;6.3;Амели ван Элбт;drama
6bc889bc-c9bd-4b83-8ec1-71f16177833c;В Россию за любовью;V Rossiyu za lyubov'yu;2012;Россия;comedy;5.3;Арман Геворгян;comedy
c27543ad-11c4-4f56-bfb3-f65a91c9ad1f;Вышибала;Goon;2011;США, Канада;drama, comedy;6.8;Майкл Даус;drama, comedy
1be57b24-d7aa-4075-8bb6-8f6d7967c6f1;Не брать живым;Green Zone;2010;Великобритания, Франция, Испания, США;drama, thriller, action, military;6.6;Пол Гринграсс;drama, thriller, action, military
a79e8971-3fac-43a3-95e0-578530b2596b;Норвег;Norveg;2015;Россия;comedy;6.3;Алена Званцова;comedy
7bcf6330-75d7-4628-a100-54fb6b181669;Мой Аттила Марсель;Attila Marcel;2013;Франция;comedy;;Сильвен Шомэ;comedy
8dbb27d3-bf18-47d5-a112-495c95d3818e;Коля - перекати поле;Kolya - perekati pole;2005;Россия;drama;;Николай Досталь;drama
829d06ce-c6b1-4716-ac19-4875508f0eda;Опасные умы;Opasnye umy;1995;США;drama;7.7;Джон Н. Смит;drama
96cb55c6-fa6c-46ad-bdfa-e22b82509412;Тайна семьи монстров;Monster Island;2017;Индия;family, for_child, fentezi, comedy;;Леопольдо Агиляр;family, for_child, fentezi, comedy
d641edd0-0244-4f83-b65c-34ee05f7ec76;И грянул гром;A SOUND OF THUNDER;2004;Чехия, Великобритания, Германия, США;thriller, horror, action, fantasy, adventures;5.6;Питер Хайамс;thriller, horror, action, fantasy, adventures
727a45d3-17ca-4ce9-83a1-7e14b042e033;Ярость 2;Rampage: Capital Punishment;2014;Канада;action;6.3;Уве Болл;action
20c4e6c1-8b48-4532-8f56-42a5ebbba9ed;Бладшот;Bladshot;2020;Китай, США;action, fantasy;5.0;Дэйв Уилсон;action, fantasy
35e0f0d2-4ee5-4ce7-9ac1-ec84588414b1;Хранитель времени;Hugo;2011;США;detective, drama, family, adventures;6.9;Мартин Скорсезе;detective, drama, family, adventures
d288da34-8ccd-406e-9ffe-63fd9067a95c;Добро пожаловать на Рождество;Welcome to Christmas;2018;Канада;melodrama, family;0.0;Гари Харви;melodrama, family
186d20e5-1b4f-41de-a8ee-c59c1fe07f93;Связь;Svyaz;2006;Россия;melodrama;6.4;Авдотья Смирнова;melodrama
06afa423-3901-48e3-a6be-d8599fa832fc;Любовь по рецепту и без;Better Living Through Chemistry;2013;Великобритания, США;drama, comedy;5.0;Джофф Мур;drama, comedy
c393a17a-1473-4782-893e-aa9bd7dec4cf;Мексиканская стена;The Wall of Mexico;2019;США, Мексика;drama, comedy;0.0;Захари Котлер;drama, comedy
20bbade3-1022-4d9a-a83f-35dba0fe23c7;Мулан;Mulan;2020;США, Китай, Канада;drama, action, fentezi;5.9;Ники Каро;drama, action, fentezi
204a1b97-7e1c-493c-8e35-5fc3b1ec85e3;Козы;Standing Up;2013;США;drama;;Ди Джей Карузо;drama
5e043ada-4df6-43d8-849e-b584a5c12717;Робин Гуд;Robin Hood;2010;Великобритания, США;drama, action, adventures;7.2;Ридли Скотт;drama, action, adventures
aad4bdcd-9630-42a3-8a3e-e6c2d39099d1;Полицейский из Беверли-Хиллз;Beverly Hills Cop;1984;США;action, comedy;7.7;Мартин Брест;action, comedy
a08c8802-f44e-472f-aea5-f93d15d12641;Лови момент;Come se non ci fosse un domani;2019;Италия;comedy;5.3;Игор Биддау;comedy
184687c119c8822f7b384;Дьявол носит Prada;Devil Wears Prada, The;2006;США, Франция;drama, melodrama, comedy;5.0;Дэвид Фрэнкел;drama, melodrama, comedy
54e35a5901cb55ea109dc;Слендер;Always Watching: A Marble Hornets Story;2014;США;horror;4.0;Джеймс Моран;horror
53e353ae-aa04-4fa9-bcc9-9dc8bf789549;Детство лидера;The Childhood of a Leader;2015;Великобритания;detective, drama, horror;2.5;Брэйди Корбет;detective, drama, horror
bfac7d6b-3e38-4744-8341-1d13d3f1cb21;Редкая бабочка;The Butterfly Tree;2017;Австралия;drama;5.8;Присцилла Камерон;drama
6b418f613f8a3b1124649;Бегущий в лабиринте: Испытание огнём;Maze Runner: The Scorch Trials;2015;США;thriller, action, fantasy, adventures;5.0;Уэс Болл;thriller, action, fantasy, adventures
8d99a4de757cf6e2f6047;Рэйчел выходит замуж;Rachel Getting Married;2008;США;drama, melodrama;;Джонатан Демме;drama, melodrama
42e8cd69-8e23-4bb8-adca-beb8d1f10aae;Шутки в сторону;On the Other Side of the Tracks;2012;Франция;comedy;;Давид Шарон;comedy
e0b4a0fc-8ba8-446f-a189-29273a87cae8;13-й район: Кирпичные особняки;Brick Mansions;2014;Франция, Канада;action;5.5;Камиль Деламарр;action
3f11adc0-c43b-401b-b455-2c6a46c7ecb4;Король Артур;Korol' Artur;2004;США, Великобритания, Ирландия;drama, action;7.1;Антуан Фукуа;drama, action
a64b62b4-fd5c-452c-b897-a53d780f0064;Любовная лихорадка;A Love Song for Bobby Long;2004;США;drama;;Шэйни Гейбел;drama
7f003355-8838-414f-a9a2-20c481d568d5;Маменькины сынки (отреставрированная версия);I vitelloni;1953;Италия, Франция;drama, comedy;7.7;Федерико Феллини;drama, comedy
03080715-0c97-4000-b006-c73faf762e9d;Бегство рогатых викингов;Begstvo rogatykh vikingov;2018;Россия;family, for_child;5.0;Илья Белостоцкий;family, for_child
ad493ac8-447b-4511-9199-acf093f32b5e;Нирвана;Nirvana;2008;Россия;drama;6.7;Игорь Волошин;drama
a1fa1600-51ba-45b9-a475-34191f66db62;Лицо со шрамом;Scarface;1983;США;drama;8.2;Брайан Де Пальма;drama
25665fb8-fed3-4a23-baf2-3c333c9ca1dd;Любовь на кончиках пальцев;Populaire;2012;Франция;melodrama;7.2;Режис Руансар;melodrama
59a1e0e6-8b34-42c5-a30b-8f26522ea62a;Дельфин Берни 2;Bernie the Dolphin 2;2019;Канада, США;family, for_child;0.0;Кирк Харрис;family, for_child
13249e1b-1c7a-460c-b0e9-080904f8fe1c;Ограбление с ограничениями;Die Goldfische;2019;Германия;comedy;6.2;Алиреза Голофшан;comedy
